,material,vbm_cubic,cbm_cubic,vbm_k_pbe,cbm_k_pbe,gap_cubic,vbm_I4,cbm_I4,angle_0,gap_I4,vbm_pnma,cbm_pnma,angle_a,angle_c,gap_pnma,gap_cubic_I4,vb_cubic_I4,cb_cubic_I4,gap_cubic_pnma,vb_cubic_pnma,cb_cubic_pnma
66,LiVO,1.5607,2.5231,20,1,0.9623999999999999,1.8475,3.0269,146.9727712464763,1.1794,1.7193,3.4412,143.86452363299315,144.64358862100596,1.7218999999999998,0.21700000000000008,0.28679999999999994,0.5038,0.7594999999999998,0.15860000000000007,0.9180999999999999
67,MgGeO,3.7239,6.9136,20,1,3.1896999999999998,3.5801,7.8009,145.51547830415868,4.2208000000000006,3.0576,7.9202,141.49243815989,139.7258305740774,4.8626000000000005,1.0311000000000008,-0.14380000000000015,0.8873000000000006,1.6729000000000007,-0.6663000000000001,1.0066000000000006
68,MgHfO,1.1687,3.3548,20,1,2.1860999999999997,1.5741,5.2004,140.79698402067748,3.6263,1.5091,7.7399,134.5989190617617,134.7609854163737,6.2307999999999995,1.4402000000000004,0.4054,1.8456000000000001,4.0447,0.34040000000000004,4.3850999999999996
69,MgSiO,5.3491,9.6738,20,1,4.3247,5.1784,11.4556,150.37532906767225,6.277200000000001,4.3259,12.1685,146.9895986809456,146.40634262301683,7.8426,1.9525000000000006,-0.17070000000000007,1.7818000000000005,3.5179,-1.0232,2.4947
70,MgSnO,3.2669,5.7009,20,1,2.4339999999999997,3.6437,6.8097,140.45366501361468,3.1660000000000004,3.5788,7.4875,134.2880033078259,132.60343923931524,3.9086999999999996,0.7320000000000007,0.3767999999999998,1.1088000000000005,1.4747,0.31190000000000007,1.7866
71,MgTiO,2.4512,5.5964,20,1,3.1452,2.6278,6.1034,143.2407315685804,3.4755999999999996,2.3863,6.296,139.4105069819843,138.87368158498904,3.9097000000000004,0.3303999999999996,0.1766000000000001,0.5069999999999997,0.7645000000000004,-0.06490000000000018,0.6996000000000002
72,MgZrO,2.5615,4.6164,20,1,2.0548999999999995,3.1378,6.6593,139.98316677422852,3.5215,3.2445,8.971,133.4318714572634,133.47429593976378,5.7265,1.4666000000000006,0.5762999999999998,2.0429000000000004,3.6716,0.6829999999999998,4.3546000000000005
73,NaAsO,,,0,0,,4.1558,4.1739,153.72684291789685,0.01809999999999956,2.4276,4.5391,153.83531934069075,154.5555849053183,2.1115000000000004,,,,,,
74,NaNbO,0.4929,3.3208,20,1,2.8279,1.5785,3.1327,154.77674682273684,1.5541999999999998,0.3773,3.6817,155.4574113598748,156.38765516116496,3.3044000000000002,1.2737000000000003,1.0856,-0.18810000000000038,0.47650000000000015,-0.11559999999999998,0.3609
75,NaPO,5.3945,6.6041,20,1,1.2096,6.5873,7.6011,160.41678846648574,1.0137999999999998,4.9681,8.0913,160.993851918502,162.34762669155003,3.1232000000000006,0.1958000000000002,1.1928,0.9969999999999999,1.9136000000000006,-0.4264000000000001,1.4872000000000005
76,NaSbO,2.917,3.7673,20,1,0.8503000000000003,4.3397,5.0514,150.4055779176308,0.7117000000000004,2.8406,5.6449,150.09087798430775,150.14797937347186,2.8043,0.13859999999999983,1.4226999999999999,1.2841,1.9539999999999997,-0.07640000000000002,1.8775999999999997
77,NaTaO,0.7232,4.416,20,1,3.6928000000000005,0.8419,4.5609,156.8977414138872,3.7190000000000003,0.6498,4.7578,157.2418254974599,158.44518225259162,4.108,0.02619999999999978,0.11870000000000003,0.1448999999999998,0.4151999999999991,-0.07339999999999991,0.3417999999999992
